分支,分類,名稱,命令,內容
DEFAULT,TALK,林瑞瑜,,無事？
DEFAULT,TALK,周書淳,,這還難不倒我。
DEFAULT,TALK,林瑞瑜,,方才多有冒犯，感謝閣下救命之恩，我叫林瑞瑜，宋江陣成員，閣下是……？
DEFAULT,TALK,周書淳,,（OS）不只是長相，連名字都與我的妻子一樣……
DEFAULT,TALK,周書淳,,我叫周書淳。
DEFAULT,TALK,林瑞瑜,,說來慚愧，若非此前受了傷，那群小賊本不在話下，話說回來，敢問閣下，初見時身法與宋江陣相似，但我先前未曾見過閣下。
DEFAULT,TALK,周書淳,,其實我來自未來的宋江陣，為了能夠改變未來的局面而來到這裡。
DEFAULT,TALK,周書淳,,（OS）我在說些什麼！得再想想什麼讓她相信我……
DEFAULT,TALK,林瑞瑜,,閣下莫不是在戲弄人？
DEFAULT,TALK,周書淳,,我知道很難相信……但至少請相信我沒有惡意！
DEFAULT,TALK,林瑞瑜,,（咳嗽）這……我可看出閣下並非惡徒，若閣下不是在戲弄，瑞瑜願意相信閣下。
DEFAULT,TALK,周書淳,,蛤？
DEFAULT,TALK,林瑞瑜,,世界之大，奇異之多，不是嗎？那閣下想怎麼做？
DEFAULT,TALK,周書淳,,我的妻子在未來被流寇所殺，宋江陣也被他們攻擊。
DEFAULT,TALK,周書淳,,所以，我來此是為了幫助宋江陣除掉流寇，改變歷史。
DEFAULT,TALK,林瑞瑜,,原來如此，粗略明白……簡而言之，閣下想入宋江陣。
DEFAULT,TALK,周書淳,,也是可以這麼解釋……
DEFAULT,TALK,周書淳,,不過你也不必一直稱呼我為閣下，你可以叫我周大哥或直呼我的名字。
DEFAULT,TALK,林瑞瑜,,那我便喊你一聲周大哥吧！
DEFAULT,TALK,周書淳,,那麼……現在有什麼是我可以幫忙的？
DEFAULT,TALK,林瑞瑜,,雖然我願意相信周大哥，但難保其他成員不會懷疑，眼下情勢緊張，要不周大哥先幫我們處理些事情，好讓那些成員熟悉熟悉。
DEFAULT,TALK,成 員,,不好了！不好了！流寇又來了！
DEFAULT,TALK,林瑞瑜,,正巧，那便勞煩周大哥，眼下人手不夠！待成員歸來，我定會讓他們速去支援！
DEFAULT,QUEST,,,
